City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
521,begamganj,23.6,78.3333,31.76,12,0,3.32,IN,1683855715
522,nadi,-17.8,177.4167,31.0,51,20,5.14,FJ,1683855715
523,el alto,-4.2714,-81.2147,23.81,79,69,5.71,PE,1683855715
524,crucecita,-28.95,-58.9833,11.11,83,1,2.51,AR,1683855715
525,plastun,44.7561,136.2939,11.68,62,2,3.09,RU,1683855715
526,nueva helvecia,-34.3,-57.2333,10.89,89,14,2.2,UY,1683855715
527,manggar,-2.8833,108.2667,30.07,73,100,3.97,ID,1683855649
528,amos,48.5669,-78.1162,12.51,94,100,2.5,CA,1683855686
529,sayansk,54.1088,102.1648,10.79,38,89,5.09,RU,1683855716
530,ishpeming,46.4885,-87.6676,20.52,71,100,1.24,US,1683855716
531,urzhar,47.093,81.6294,22.51,32,100,0.13,KZ,1683855716
532,castillos,-34.1667,-53.8333,12.44,65,34,1.47,UY,1683855716
533,ajaokuta,7.5623,6.655,25.67,90,100,1.9,NG,1683855716
534,haymana,39.4321,32.4973,8.5,92,100,2.5,TR,1683855717
535,rabaul,-4.1967,152.1721,27.78,82,97,4.56,PG,1683855717
536,tchibanga,-2.85,11.0333,22.41,96,100,0.27,GA,1683855717
537,floro,61.5996,5.0328,8.87,100,100,2.06,NO,1683855717
538,dampit,-8.2116,112.7493,26.78,76,40,2.35,ID,1683855717
539,pandan,14.0453,124.1694,28.77,68,32,4.17,PH,1683855217
540,palikir - national government center,6.9248,158.1611,32.41,66,75,4.12,FM,1683855172
541,ashoknagar,24.5667,77.7167,30.87,11,0,2.79,IN,1683855718
542,mil'kovo,55.6078,37.7956,10.23,80,42,2.45,RU,1683855718
543,asubulaq,49.5583,83.0558,18.25,48,100,1.28,KZ,1683855720
544,viransehir,37.2353,39.7631,20.59,34,100,3.77,TR,1683855720
545,kavaratti,10.5669,72.642,29.22,66,100,1.54,IN,1683855720
546,puerto colombia,10.9878,-74.9547,28.05,87,12,8.13,CO,1683855720
547,makubetsu,45.3714,141.8211,10.84,62,75,5.66,JP,1683855721
548,manoc-manoc,11.9416,121.9428,28.85,76,100,5.42,PH,1683855722
549,jajpur,20.85,86.3333,30.27,63,84,1.6,IN,1683855722
550,paracuru,-3.41,-39.0306,25.23,83,78,2.0,BR,1683855723
551,lander,42.833,-108.7307,12.22,71,100,3.6,US,1683855723
552,laibin,23.7,109.2667,20.34,74,99,4.22,CN,1683855723
553,prince rupert,54.3161,-130.3201,14.05,55,20,9.26,CA,1683855612
554,magdagachi,53.45,125.8,19.68,30,100,5.42,RU,1683855723
555,mahina,-17.5065,-149.489,27.87,69,100,2.57,PF,1683855724
556,barranca,-10.75,-77.7667,21.35,85,97,4.03,PE,1683855426
557,westport,41.1415,-73.3579,21.08,63,40,2.57,US,1683855724
558,bad salzungen,50.8167,10.2333,10.95,97,100,1.63,DE,1683855724
